From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
7413;1419;sea;5294;-1;-1;-1;-1;;Moluccas
10141;1419;sea;5267;-1;-1;-1;-1;;Moluccas
480;9431;sea;8621;-1;-1;-1;-1;;Netherlands outlier
8857;2284;sea;7617;1558;1018;1563;1012;PANAMA_CANAL;Panama
2729;8812;sea;6257;2949;1598;2962;1612;KIEL_CANAL;Kiel
1434;209;sea;3151;-1;-1;-1;-1;WHITE_SEA_CANAL;White Sea Canal
5946;6824;;-1;-1;-1;-1;-1;TSUGARU_STRAIT;Tsugaru Strait
2510;5391;;-1;-1;-1;-1;-1;TATAR_STRAIT;Tatar Strait
2708;7932;;-1;-1;-1;-1;-1;KOREA_STRAIT;Korea Strait
2714;2737;;-1;-1;-1;-1;-1;SUNDA_STRAIT;Sunda Strait
4465;2534;;-1;-1;-1;-1;-1;LA_PEROUSE_STRAIT;La Perouse Strait North
4465;2583;;-1;-1;-1;-1;-1;LA_PEROUSE_STRAIT;La Perouse Strait South
5388;803;sea;12049;-1;-1;-1;-1;SUEZ_CANAL;Suez
299;211;sea;2282;-1;-1;-1;-1;;Småland-Öland
3305;6393;;443;-1;-1;-1;-1;;Sjaelland-Mon
6345;6287;sea;2382;-1;-1;-1;-1;;Skåne-Sjaelland
3277;3325;;8812;-1;-1;-1;-1;;Fyn-Jylland
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
185;6201;sea;1885;-1;-1;-1;-1;;Ösel-Dagö
9990;13957;sea;5681;-1;-1;-1;-1;;Calabria-Sicily
12299;12113;sea;5539;-1;-1;-1;-1;;Singapore-Batam
7396;1401;sea;5615;-1;-1;-1;-1;;Bangka Belitung-Sumatra
1342;10279;sea;2737;-1;-1;-1;-1;;Java-Sumatra
4306;4608;sea;5666;-1;-1;-1;-1;;Soerbaja-Madura
7654;4273;sea;2239;-1;-1;-1;-1;;Java-Bali
7293;4273;sea;2239;-1;-1;-1;-1;;Bali-Lombok
7293;10191;sea;2239;-1;-1;-1;-1;;Lombok-W.Nusa Tenggara
12151;10219;sea;5414;-1;-1;-1;-1;;East Nusa Tenggara-Pulau Alor
12444;10222;sea;5515;-1;-1;-1;-1;;Sulawesi-Pulau Buton
1293;4269;sea;8751;-1;-1;-1;-1;;Surigao-Leyte
1311;4228;sea;2856;-1;-1;-1;-1;;San Bernardino Strait
4288;1221;sea;2876;-1;-1;-1;-1;;Mindoro-Batangas
4228;7307;sea;2876;-1;-1;-1;-1;;Ticao Pass
10302;1261;sea;2876;-1;-1;-1;-1;;Panay-Negros
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
13380;13203;sea;2970;-1;-1;-1;-1;;Juneau-Alaska
13379;13381;sea;2970;-1;-1;-1;-1;;Island-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
7452;2895;;-1;-1;-1;-1;-1;DARDANELLES_STRAIT;Dardanelles
5412;13932;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
849;9887;sea;2895;-1;-1;-1;-1;;Dardanelles pass
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus pass
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
13382;1420;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
11064;13717;sea;3195;-1;-1;-1;-1;;North Scottish-Strait
6363;13710;sea;8340;-1;-1;-1;-1;;West Scottish-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2431;2382;;-1;-1;-1;-1;-1;ORESUND_STRAIT;Oresund
2436;443;;-1;-1;-1;-1;-1;STOREBAELT_STRAIT;Storebaelt
2436;8812;;-1;-1;-1;-1;-1;LITTLE_BELT;Lillebaelt
2408;8812;;-1;-1;-1;-1;-1;FEHRMARN_BELT;Fehrmarn Belt
2408;443;;-1;-1;-1;-1;-1;GULDBORG_SUND;Guldborgsund
2382;443;;-1;-1;-1;-1;-1;GULDBORG_SUND;Ulvsund
2800;2776;;-1;-1;-1;-1;-1;BAB_EL_MANDEDEB_STRAIT;Bab El-Mandedeb
5960;5539;;-1;-1;-1;-1;-1;MALACCA_STRAITS;Malacca
2943;2919;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;Hormuz-Strait
5864;5838;;-1;-1;-1;-1;-1;OTRANTO_STRAIT;Otranto
12131;12144;impassable;-1;-1;-1;-1;-1;;Malaysia
1291;4297;impassable;-1;-1;-1;-1;-1;;Malaysia
1291;12131;impassable;-1;-1;-1;-1;-1;;Malaysia
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
